PGP3,Cre03.g162601,0.83,1.08,1.35,1.36,1.19,0.67,0.9,1.07,0.11,0.29,1.24,1.3,0.76,0.73,0.57,0.8
(AGT1),Cre06.g294650,17.19,16.13,23.34,31.72,39.72,44.44,56.6,54.29,50.5,30.4,54.34,40.8,18.53,14.86,17.25,20.57
(SGA1),Cre01.g005150,9.59,3.98,11,24,35.28,26.31,40.28,45.74,44.89,3.28,13.81,27.27,21.89,13.89,16.41,8.78
(AAT1),Cre10.g451950,55.5,30.77,57.9,99.9,128.93,118.94,152.82,155.32,117.05,23.88,74.96,103.11,90.5,82.72,82.37,57.92
GLYK1 (GYK1),Cre12.g542300,1.54,1.16,3.58,5.08,5.59,4.16,5.23,6.06,11.3,3.98,4.75,4.04,2.32,1.88,3.03,1.08
(GCSP),Cre12.g534800,35.19,13.87,27.2,51,68.69,86.93,106.96,105.58,130.25,64.86,114.61,94.36,77.57,74.23,78.29,28.5
(GYD1),Cre06.g288700,14.09,9.91,21.27,34.5,44.83,48.54,63.88,62.78,75.54,38.61,40.77,46.46,37.68,24.41,23.57,15.88
(PGP1),Cre03.g168700,6.33,3.16,15.35,30.11,43.91,49.6,59.18,60.41,91.6,62.71,60.88,52.85,31.91,16.94,13.58,3.55
(PGP2),Cre10.g438100,26.26,20.24,15.9,13,12.38,10.62,12.15,12.33,30.05,25.84,27.99,29.08,25.71,21.6,21.37,27.43
rbcL,CreCp.g007100,44242.1,40222.3,42558.9,37237.1,43088.2,43963.8,58155.2,48062.1,91669.3,57312.1,67987.4,47583.2,37136.2,29012.1,38882,45578.5
RBCS2,Cre02.g120150,5172.25,4680.75,4579.7,4676.32,5030.37,6410.03,7601.08,7307.55,11237,8851.11,11137,9741.77,6649.56,5142.9,5221.16,5403.8
(SHMT1),Cre16.g664550,30.73,22.54,42.42,64.29,73.91,74.99,92.84,92.56,185.96,96.57,95.8,97.43,63.71,42.61,50.74,32.74
(SHMT3),Cre09.g411900,21.85,39.37,40.65,40.49,35.86,22.8,25.07,23.92,126.76,141.53,31.67,22.2,19.57,12.98,17.19,20.12
(SHMT2),Cre06.g293950,22.63,1.43,1.33,1.91,2.26,1.73,2.01,2.04,21.44,83.19,91.45,50.17,62.46,33.77,39.46,5.9
"(GCSH, GDCH)",Cre06.g253350,227.88,236.47,172.6,163.14,167.09,143.62,172.71,155.97,222.86,158.84,405.8,327.75,214.8,149.97,186.75,326.12
(HPR1),Cre06.g295450,12.2,10.32,22.5,39.37,50.28,40.95,44.66,42.37,48.23,19,46.81,53.25,32.91,16.76,16.98,19.95
RBCS1,Cre02.g120100,2149.49,665.76,977.76,1222.25,1373.98,1302.45,1561.5,1521.79,2482.68,1447.39,4867.29,5201.94,2695.7,1705.04,2255.41,1470.63
(GCST),Cre03.g193750,35.42,24.14,24.13,28.76,31.26,25.19,29.53,31.25,37.48,26.6,36.97,42.21,32.46,36.02,49.17,49.19
(AGT2),Cre03.g182800,6.77,6.18,7.16,7.56,6.57,5.62,6.89,8.12,4.26,0.73,4.12,15.65,7.84,5.49,4.17,17.08
