Cre ID,Gene number
Cre01.g025808,568
Cre01.g025850,569
Cre01.g025900,570
Cre01.g025950,571
Cre01.g025983,572
Cre01.g026016,573
Cre01.g026050,574
Cre01.g026100,575
Cre01.g026150,576
Cre01.g026200,577
Cre01.g026250,578
Cre01.g026300,579
Cre01.g026350,580
Cre01.g026400,581
Cre01.g026450,582
Cre01.g026500,583
Cre01.g026550,584
Cre01.g026600,585
Cre01.g026650,586
Cre01.g026700,587
Cre01.g026750,588
Cre01.g026800,589
Cre01.g026850,590
Cre01.g026900,591
Cre01.g026950,592
Cre01.g027000,593
Cre01.g027050,594
Cre01.g027100,595
Cre01.g027150,596
Cre01.g027200,597
Cre01.g027250,598
Cre01.g027300,599
Cre01.g027350,600
Cre01.g027400,601
Cre01.g027450,602
Cre01.g027500,603
Cre01.g027550,604
Cre01.g027575,605
Cre01.g027600,606
Cre01.g027650,607
Cre01.g027700,608
Cre01.g027750,609
Cre01.g027764,610
Cre01.g027800,611
Cre01.g027850,612
Cre01.g027900,613
Cre01.g027950,614
Cre01.g028000,615
Cre01.g028050,616
Cre01.g028101,617
Cre01.g028150,618
Cre01.g028200,619
Cre01.g028250,620
Cre01.g028300,621
Cre01.g028350,622
Cre01.g028400,623
Cre01.g028423,624
Cre01.g028450,625
Cre01.g028500,626
Cre01.g028550,627
Cre01.g028600,628
Cre01.g028650,629
Cre01.g028713,630
Cre01.g028777,631
Cre01.g028850,632
Cre01.g028900,633
Cre01.g028950,634
Cre01.g029000,635
Cre01.g029050,636
Cre01.g029100,637
Cre01.g029150,638
Cre01.g029200,639
Cre01.g029250,640
Cre01.g029300,641
Cre01.g029350,642
Cre01.g029400,643
Cre01.g029450,644
Cre01.g029500,645
Cre01.g029550,646
Cre01.g029600,647
Cre01.g029650,648
Cre01.g029700,649
Cre01.g029750,650
Cre01.g029800,651
Cre01.g029850,652
Cre01.g029900,653
Cre01.g029950,654
Cre01.g030000,655
Cre01.g030050,656
Cre01.g030100,657
Cre01.g030150,658
Cre01.g030200,659
Cre01.g030250,660
Cre01.g030300,661
Cre01.g030350,662
Cre01.g030400,663
Cre01.g030450,664
Cre01.g030500,665
Cre01.g030550,666
Cre01.g030600,667
Cre01.g030650,668
Cre01.g030700,669
Cre01.g030750,670
Cre01.g030800,671
Cre01.g030850,672
Cre01.g030900,673
Cre01.g030950,674
Cre01.g030968,675
Cre01.g030986,676
Cre01.g031004,677
Cre01.g031050,678
Cre01.g031100,679
Cre01.g031200,680
Cre01.g031250,681
Cre01.g031300,682
Cre01.g031350,683
Cre01.g031400,684
Cre01.g031450,685
Cre01.g031500,686
Cre01.g031550,687
Cre01.g031600,688
Cre01.g031650,689
Cre01.g031700,690
Cre01.g031726,691
Cre01.g031750,692
Cre01.g031800,693
Cre01.g031850,694
Cre01.g031875,695
Cre01.g031900,696
Cre01.g031951,697
Cre01.g032000,698
Cre01.g032050,699
Cre01.g032100,700
Cre01.g032139,701
Cre01.g032150,702
Cre01.g032200,703
Cre01.g032250,704
Cre01.g032300,705
Cre01.g032350,706
Cre01.g032400,707
Cre01.g032450,708
Cre01.g032500,709
Cre01.g032550,710
Cre01.g032600,711
Cre01.g032650,712
Cre01.g032700,713
Cre01.g032750,714
Cre01.g032800,715
Cre01.g032850,716
Cre01.g032900,717
Cre01.g032950,718
Cre01.g033000,719
Cre01.g033050,720
Cre01.g033071,721
Cre01.g033091,722
Cre01.g033150,723
Cre01.g033200,724
Cre01.g033250,725
Cre01.g033300,726
Cre01.g033350,727
Cre01.g033400,728
Cre01.g033450,729
Cre01.g033500,730
Cre01.g033516,731
Cre01.g033532,732
Cre01.g033550,733
Cre01.g033700,734
Cre01.g033750,735
Cre01.g033763,736
Cre01.g033832,737
Cre01.g033900,738
Cre01.g033950,739
Cre01.g034000,740
Cre01.g034050,741
Cre01.g034100,742
Cre01.g034150,743
Cre01.g034200,744
Cre01.g034250,745
Cre01.g034300,746
Cre01.g034325,747
Cre01.g034350,748
Cre01.g034380,749
Cre01.g034400,750
Cre01.g034451,751
Cre01.g034500,752
Cre01.g034550,753
Cre01.g034600,754
Cre01.g034650,755
Cre01.g034700,756
Cre01.g034750,757
Cre01.g034800,758
Cre01.g034850,759
Cre01.g034875,760
Cre01.g034900,761
Cre01.g034950,762
Cre01.g035000,763
Cre01.g035050,764
Cre01.g035100,765
Cre01.g035150,766
Cre01.g035200,767
Cre01.g035250,768
Cre01.g035300,769
Cre01.g035350,770
Cre01.g035400,771
Cre01.g035450,772
Cre01.g035500,773
Cre01.g035550,774
Cre01.g035600,775
Cre01.g035650,776
Cre01.g035700,777
Cre01.g035750,778
Cre01.g035800,779
Cre01.g035850,780
Cre01.g035900,781
Cre01.g035950,782
Cre01.g036000,783
Cre01.g036050,784
Cre01.g036100,785
Cre01.g036150,786
Cre01.g036200,787
Cre01.g036250,788
Cre01.g036300,789
Cre01.g036350,790
Cre01.g036400,791
Cre01.g036451,792
Cre01.g036500,793
Cre01.g036550,794
Cre01.g036600,795
Cre01.g036650,796
Cre01.g036700,797
Cre01.g036750,798
Cre01.g036800,799
Cre01.g036850,800
Cre01.g036900,801
Cre01.g036950,802
Cre01.g037000,803
Cre01.g037050,804
Cre01.g037100,805
Cre01.g037150,806
Cre01.g037200,807
Cre01.g037250,808
Cre01.g037300,809
Cre01.g037350,810
Cre01.g037400,811
Cre01.g037450,812
Cre01.g037476,813
Cre01.g037500,814
Cre01.g037550,815
Cre01.g037600,816
Cre01.g037650,817
Cre01.g037700,818
Cre01.g037751,819
Cre01.g037800,820
Cre01.g037850,821
Cre01.g037900,822
Cre01.g037950,823
Cre01.g038000,824
Cre01.g038050,825
Cre01.g038100,826
Cre01.g038151,827
Cre01.g038200,828
Cre01.g038250,829
Cre01.g038300,830
Cre01.g038350,831
Cre01.g038376,832
Cre01.g038400,833
